6,13,,
0,1,Eliza_Resistance_Joy,대체 어떻게 해내신 겁니까? 대장은 정말 미래라도 본 겁니까? 대단합니다.
1,0,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.)
2,1,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.
3,1,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.)
4,1,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.
5,0,Eliza_Noble,그래, 무사히 돌아오도록.
6,0,Eliza_Noble,이번 임무, 잘 부탁하지.
7,1,Eliza_Noble,네…알렌을 위해!
8,1,Eliza_Resistance_Despair30,이로써, 후방 병력이 빠지며, 협정 당일 보안이 허술해졌습니다.
9,0,Eliza_Resistance_Despair30,연설장에 들어가려면 귀족 초대장이 필요하군, 쉽지 않겠어.
10,1,Eliza_Noble,제가 귀족으로 위장해서 받아오겠습니다.
11,0,Eliza_Noble,자네가 직접?
12,1,Eliza_Noble,네, 대장의 작전을 믿습니다. 저도 무사할거에요.
