3,14,,
0,1,Eliza_Resistance_Joy,완벽한 작전이었습니다. 적을 꿰뚫는 최적의 판단이었요.
1,0,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.)
2,1,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.
3,0,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.)
4,1,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.
5,0,Eliza_Resistance_Despair30,
6,0,Eliza_Resistance_Despair30,
7,1,Eliza_Resistance_Despair30,네, 대장. 작전지로 출발합니다. 알렌을 위해!
8,1,Eliza_Resistance_Despair30,긴급 정보입니다. 협정이 곧 열린다는군요.
9,1,Eliza_Resistance_Despair70,내용을 보니, 알렌에게 큰 걸림돌이 되겠군요. 반드시 막아야 합니다.
10,0,Eliza_Resistance_Despair30,…작전을 위해 더 많은 손이 필요하겠어. 대원 한명을 더 충원하지.
11,0,Eliza_Resistance_Despair30,(그 협정이 체결된다면 칼트가 우리를 철저히 짓밟겠지.)
12,0,Eliza_Resistance_Despair30,(이번엔 달라, 내가 먼저 움직인다.)
13,0,Eliza_Resistance_Despair30,작전지로 이동하지.
