4,12,,
0,1,Eliza_Resistance_Joy,대체 몇 수 앞을… 대장은 늘 새로운 길을 보여주는군요.
1,1,Eliza_Resistance_Sad,
2,1,Eliza_Resistance_Sad,
3,0,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.)
4,0,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.
5,0,Eliza_Resistance_Despair30,그래, 헛된 희생이 줄겠군.
6,0,Eliza_Resistance_Despair30,-
7,1,Eliza_Resistance_Despair30,네, 대장. 작전지로 출발합니다. 알렌을 위해!
8,1,Eliza_Resistance_Despair70,작전지에서 확보한 협정 참가 리스트를 확인해보죠. 칼트의 총리 ...
9,0,Eliza_Resistance_Despair70,총리가 협정에 개입했다면, 단순한 협상은 아니겠군. 반드시 막아야 해.
10,1,Eliza_Resistance_Despair70,이번엔 저도 전투에 나서겠습니다.
11,1,Eliza_Resistance_Despair70,지원사격으로 전황을 유리하게 바꿔 놓을 수 있어요.
