1,12,,
0,1,Eliza_Resistance_Joy,완벽한 작전이었습니다. 한 순간에 적을 무력화하시다니, 대단하군요 대장.
1,1,Eliza_Resistance_Despair30,
2,1,Eliza_Resistance_Despair30,
3,0,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.)
4,1,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.
5,0,Eliza_Resistance_Despair30,
6,0,Eliza_Resistance_Despair30,
7,1,Eliza_Resistance_Despair30,네, 대장. 작전지로 출발합니다. 알렌을 위해!
8,1,Eliza_Resistance_Despair30,이번엔 회의장을 기습해야 합니다.
9,1,Eliza_Resistance_Despair30,대원들을 적 사이에 신중히 배치하면, 적들이 서로를 해치게 만들 수 있을 겁니다.
10,0,Eliza_Resistance_Despair30,(모든 것이 다시 시작되었군. 이번엔 다르게, 반드시 희생 없이 끝내야 한다.)
11,0,Eliza_Resistance_Despair30,작전지로 이동하지.
