34,,,,,
0,0,538,1368,269,684
538,0,1076,1368,269,684
1076,0,1614,1368,269,684
1614,0,2152,1368,269,684
2152,0,2690,1368,269,684
2690,0,3228,1368,269,684
3228,0,3766,1368,269,684
3766,0,4304,1368,269,684
4304,0,4842,1368,269,684
4842,0,5380,1368,269,684
5380,0,5918,1368,269,684
5918,0,6456,1368,269,684
6456,0,6994,1368,269,684
6994,0,7532,1368,269,684
7532,0,8070,1368,269,684
8070,0,8608,1368,269,684
8608,0,9146,1368,269,684
0,1368,538,2736,269,684
538,1368,1076,2736,269,684
1076,1368,1614,2736,269,684
1614,1368,2152,2736,269,684
2152,1368,2690,2736,269,684
2690,1368,3228,2736,269,684
3228,1368,3766,2736,269,684
3766,1368,4304,2736,269,684
4304,1368,4842,2736,269,684
4842,1368,5380,2736,269,684
5380,1368,5918,2736,269,684
5918,1368,6456,2736,269,684
6456,1368,6994,2736,269,684
6994,1368,7532,2736,269,684
7532,1368,8070,2736,269,684
8070,1368,8608,2736,269,684
8608,1368,9146,2736,269,684
