34,,,,,
0,0,872,1373,436,686.5
872,0,1744,1373,436,686.5
1744,0,2616,1373,436,686.5
2616,0,3488,1373,436,686.5
3488,0,4360,1373,436,686.5
4360,0,5232,1373,436,686.5
5232,0,6104,1373,436,686.5
6104,0,6976,1373,436,686.5
6976,0,7848,1373,436,686.5
7848,0,8720,1373,436,686.5
8720,0,9592,1373,436,686.5
0,1373,872,2746,436,686.5
872,1373,1744,2746,436,686.5
1744,1373,2616,2746,436,686.5
2616,1373,3488,2746,436,686.5
3488,1373,4360,2746,436,686.5
4360,1373,5232,2746,436,686.5
5232,1373,6104,2746,436,686.5
6104,1373,6976,2746,436,686.5
6976,1373,7848,2746,436,686.5
7848,1373,8720,2746,436,686.5
8720,1373,9592,2746,436,686.5
0,2746,872,4119,436,686.5
872,2746,1744,4119,436,686.5
1744,2746,2616,4119,436,686.5
2616,2746,3488,4119,436,686.5
3488,2746,4360,4119,436,686.5
4360,2746,5232,4119,436,686.5
5232,2746,6104,4119,436,686.5
6104,2746,6976,4119,436,686.5
6976,2746,7848,4119,436,686.5
7848,2746,8720,4119,436,686.5
8720,2746,9592,4119,436,686.5
0,4119,872,5492,436,686.5
