34,,,,,
0,0,406,1428,203,714
406,0,812,1428,203,714
812,0,1218,1428,203,714
1218,0,1624,1428,203,714
1624,0,2030,1428,203,714
2030,0,2436,1428,203,714
2436,0,2842,1428,203,714
2842,0,3248,1428,203,714
3248,0,3654,1428,203,714
3654,0,4060,1428,203,714
4060,0,4466,1428,203,714
4466,0,4872,1428,203,714
4872,0,5278,1428,203,714
5278,0,5684,1428,203,714
5684,0,6090,1428,203,714
6090,0,6496,1428,203,714
6496,0,6902,1428,203,714
6902,0,7308,1428,203,714
7308,0,7714,1428,203,714
7714,0,8120,1428,203,714
8120,0,8526,1428,203,714
8526,0,8932,1428,203,714
8932,0,9338,1428,203,714
9338,0,9744,1428,203,714
0,1428,406,2856,203,714
406,1428,812,2856,203,714
812,1428,1218,2856,203,714
1218,1428,1624,2856,203,714
1624,1428,2030,2856,203,714
2030,1428,2436,2856,203,714
2436,1428,2842,2856,203,714
2842,1428,3248,2856,203,714
3248,1428,3654,2856,203,714
3654,1428,4060,2856,203,714
