34,,,,,
0,0,551,1377,275.5,688.5
551,0,1102,1377,275.5,688.5
1102,0,1653,1377,275.5,688.5
1653,0,2204,1377,275.5,688.5
2204,0,2755,1377,275.5,688.5
2755,0,3306,1377,275.5,688.5
3306,0,3857,1377,275.5,688.5
3857,0,4408,1377,275.5,688.5
4408,0,4959,1377,275.5,688.5
4959,0,5510,1377,275.5,688.5
5510,0,6061,1377,275.5,688.5
6061,0,6612,1377,275.5,688.5
6612,0,7163,1377,275.5,688.5
7163,0,7714,1377,275.5,688.5
7714,0,8265,1377,275.5,688.5
8265,0,8816,1377,275.5,688.5
8816,0,9367,1377,275.5,688.5
9367,0,9918,1377,275.5,688.5
0,1377,551,2754,275.5,688.5
551,1377,1102,2754,275.5,688.5
1102,1377,1653,2754,275.5,688.5
1653,1377,2204,2754,275.5,688.5
2204,1377,2755,2754,275.5,688.5
2755,1377,3306,2754,275.5,688.5
3306,1377,3857,2754,275.5,688.5
3857,1377,4408,2754,275.5,688.5
4408,1377,4959,2754,275.5,688.5
4959,1377,5510,2754,275.5,688.5
5510,1377,6061,2754,275.5,688.5
6061,1377,6612,2754,275.5,688.5
6612,1377,7163,2754,275.5,688.5
7163,1377,7714,2754,275.5,688.5
7714,1377,8265,2754,275.5,688.5
8265,1377,8816,2754,275.5,688.5
